,Accuracy,MCC,F1
knn,0.6666666666666666,0.42636031866445345,0.6564464316964302
dt,0.8563218390804598,0.7566163748422178,0.8539471297349891
rf,0.9885057471264368,0.9808557113364228,0.988484399051696
mlp,0.8505747126436781,0.7453326822782701,0.8455288079230826
stack,0.8448275862068966,0.7349141289288403,0.8312315301746283
